OBJECTID,BLDG_CODE,BLDG_CODE_DESC,X_COORD,Y_COORD,OBSCURED,CREATE_DT_UTC,MOD_DT_UTC,multipolygon,Shape_Length,Shape_Area
1,5,Residential Garage,-4405.45,5657914.46,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.062907 51.057448, -114.0628059 51.0574472, -114.062805 51.0574917, -114.0629062 51.0574925, -114.062907 51.057448)))",24.08410014,35.10662599
2,5,Residential Garage,-4403.44,5657946.94,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0628861 51.0577524, -114.0628856 51.0577119, -114.0628485 51.0577121, -114.0628484 51.0577084, -114.0628015 51.0577086, -114.0628015 51.0577118, -114.0627691 51.0577119, -114.0627703 51.0578128, -114.0628024 51.0578126, -114.0628024 51.0578153, -114.0628481 51.0578151, -114.0628481 51.0578126, -114.062878 51.0578125, -114.0628773 51.0577524, -114.0628861 51.0577524)))",40.08877554,89.5306749
3,5,Residential Garage,-4403.77,5658051.44,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.062892 51.0586633, -114.0627717 51.0586656, -114.0627752 51.0587393, -114.0628955 51.058737, -114.062892 51.0586633)))",33.2781604,69.20090624
4,5,Residential Garage,-4397.17,5660739.49,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0627263 51.0828416, -114.0627259 51.0828901, -114.0627259 51.0828903, -114.062818 51.0828906, -114.062818 51.0828859, -114.0628184 51.0828424, -114.0628184 51.0828418, -114.0627263 51.0828416)))",23.75208301,34.98874247
5,6,Residential Roof Outline,-4403.52,5658096.51,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0629179 51.0590476, -114.062839 51.0590465, -114.0628392 51.0590416, -114.0627696 51.0590406, -114.0627673 51.0591044, -114.0627615 51.0591043, -114.0627605 51.0591337, -114.0627662 51.0591338, -114.0627658 51.0591434, -114.0627462 51.0591431, -114.0627436 51.0592171, -114.062808 51.059218, -114.0628096 51.0591712, -114.0629134 51.0591726, -114.0629179 51.0590476)))",63.72008821,176.5155421
6,6,Residential Roof Outline,-4351.42,5658304.71,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0620493 51.0607617, -114.0618414 51.0607615, -114.0618406 51.0611178, -114.0619211 51.0611693, -114.0621245 51.0611699, -114.0621198 51.0614708, -114.0622291 51.0614744, -114.0622373 51.0614708, -114.0622647 51.0614708, -114.0622681 51.0614735, -114.0623278 51.0614735, -114.062338 51.0614672, -114.0623372 51.0614246, -114.0623303 51.061421, -114.0623374 51.0614161, -114.0623374 51.0614059, -114.062332 51.061402, -114.0623379 51.0613961, -114.062338 51.0613403, -114.0623302 51.0613352, -114.0623378 51.0613299, -114.0623375 51.0613167, -114.0623301 51.0613127, -114.062337 51.0613088, -114.0623394 51.0612508, -114.0623329 51.0612463, -114.0623386 51.0612423, -114.0623388 51.0612295, -114.0623327 51.0612244, -114.0623385 51.0612208, -114.0623399 51.0611806, -114.062326 51.0611695, -114.0623285 51.0610584, -114.0622647 51.0610578, -114.0621177 51.0609668, -114.0621179 51.0609586, -114.0621228 51.0608082, -114.0620493 51.0607617)))",217.7295114,1598.716548
7,6,Residential Roof Outline,-4417.15,5657967.17,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0628576 51.0580351, -114.0631823 51.05804, -114.063188 51.0578875, -114.0631076 51.0578863, -114.063109 51.057849, -114.0629889 51.0578472, -114.0629874 51.0578871, -114.0629913 51.0578871, -114.0629909 51.0578976, -114.0629618 51.0578971, -114.0629613 51.0579112, -114.0628623 51.0579097, -114.0628576 51.0580351)))",88.33401296,397.4669616
8,6,Residential Roof Outline,-4360.16,5658189.8,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0620499 51.0599534, -114.0620496 51.0599867, -114.0623409 51.0599876, -114.0623415 51.0599041, -114.0620855 51.0599033, -114.0620851 51.0599535, -114.0620499 51.0599534)))",59.41088355,175.8665832
9,6,Residential Roof Outline,-4418.25,5658024.24,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.063175 51.0584551, -114.063177 51.0583987, -114.0628975 51.0583947, -114.0628952 51.0584581, -114.0629065 51.0584583, -114.0629044 51.0585151, -114.0631586 51.0585187, -114.0631588 51.0585138, -114.0631825 51.0585142, -114.0631846 51.058456, -114.063175 51.0584551)))",67.22895741,261.0599024
10,6,Residential Roof Outline,-4402.95,5658147.61,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.062848 51.0595192, -114.062848 51.0594929, -114.0627748 51.0594929, -114.0627748 51.0595201, -114.0627535 51.0595201, -114.0627535 51.0595693, -114.0627622 51.0595693, -114.0627622 51.0596179, -114.0628047 51.0596179, -114.0628047 51.0596387, -114.0628927 51.0596387, -114.0628927 51.0595192, -114.062848 51.0595192)))",51.95301915,132.9738698
