OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
1,16 AV NW,Yes,0.49999605,0,0,,,1,Yes,Yes,-7467.1207,5658984.156,-7467.6206,5658984.166
2,16 AV NW,Yes,0.493213828,0,0,,,1,,,-7894.5408,5658988.598,-7895.0336,5658988.618
3,16 AV NW,Yes,0.499920494,0,0,,,1,,,-7894.0413,5658988.578,-7894.5408,5658988.598
4,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7893.5417,5658988.557,-7894.0413,5658988.578
5,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7893.0421,5658988.537,-7893.5417,5658988.557
6,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7892.5425,5658988.516,-7893.0421,5658988.537
7,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7892.0429,5658988.496,-7892.5425,5658988.516
8,16 AV NW,Yes,0.499916403,0,0,,,1,,,-7891.5434,5658988.475,-7892.0429,5658988.496
9,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7891.0438,5658988.455,-7891.5434,5658988.475
10,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7890.5442,5658988.434,-7891.0438,5658988.455
11,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7890.0446,5658988.414,-7890.5442,5658988.434
12,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7889.545,5658988.393,-7890.0446,5658988.414
13,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7889.0454,5658988.373,-7889.545,5658988.393
14,16 AV NW,Yes,0.499920494,0,0,,,1,,,-7888.5459,5658988.352,-7889.0454,5658988.373
15,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7888.0463,5658988.332,-7888.5459,5658988.352
16,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7887.5467,5658988.312,-7888.0463,5658988.332
17,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7887.0471,5658988.291,-7887.5467,5658988.312
18,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7886.5475,5658988.271,-7887.0471,5658988.291
19,16 AV NW,Yes,0.499916403,0,0,,,1,,,-7886.048,5658988.25,-7886.5475,5658988.271
20,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7885.5484,5658988.23,-7886.048,5658988.25
21,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7885.0488,5658988.209,-7885.5484,5658988.23
22,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7884.5492,5658988.189,-7885.0488,5658988.209
23,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7884.0496,5658988.168,-7884.5492,5658988.189
24,16 AV NW,Yes,0.499920494,0,0,,,1,,,-7883.5501,5658988.148,-7884.0496,5658988.168
25,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7883.0505,5658988.127,-7883.5501,5658988.148
26,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7882.5509,5658988.107,-7883.0505,5658988.127
27,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7882.0513,5658988.086,-7882.5509,5658988.107
28,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7881.5517,5658988.066,-7882.0513,5658988.086
29,16 AV NW,Yes,0.499916403,0,0,,,1,,,-7881.0522,5658988.045,-7881.5517,5658988.066
30,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7880.5526,5658988.025,-7881.0522,5658988.045
31,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7880.053,5658988.004,-7880.5526,5658988.025
32,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7879.5534,5658987.984,-7880.053,5658988.004
33,16 AV NW,Yes,0.500016319,0,0,,,1,,,-7879.0538,5658987.964,-7879.5534,5658987.984
34,16 AV NW,Yes,0.499920494,0,0,,,1,,,-7878.5543,5658987.943,-7879.0538,5658987.964
35,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7878.0547,5658987.923,-7878.5543,5658987.943
36,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7877.5551,5658987.902,-7878.0547,5658987.923
37,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7877.0555,5658987.882,-7877.5551,5658987.902
38,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7876.5559,5658987.861,-7877.0555,5658987.882
39,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7876.0563,5658987.841,-7876.5559,5658987.861
40,16 AV NW,Yes,0.499916403,0,0,,,1,,,-7875.5568,5658987.82,-7876.0563,5658987.841
41,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7875.0572,5658987.8,-7875.5568,5658987.82
42,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7874.5576,5658987.779,-7875.0572,5658987.8
43,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7874.058,5658987.759,-7874.5576,5658987.779
44,16 AV NW,Yes,0.50001632,0,0,,,1,,,-7873.5584,5658987.738,-7874.058,5658987.759
45,16 AV NW,Yes,0.499920494,0,0,,,1,,,-7873.0589,5658987.718,-7873.5584,5658987.738
46,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7872.5593,5658987.697,-7873.0589,5658987.718
47,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7872.0597,5658987.677,-7872.5593,5658987.697
48,16 AV NW,Yes,0.500016319,0,0,,,1,,,-7871.5601,5658987.656,-7872.0597,5658987.677
49,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7871.0605,5658987.636,-7871.5601,5658987.656
50,16 AV NW,Yes,0.499920494,0,0,,,1,,,-7870.561,5658987.615,-7871.0605,5658987.636
51,16 AV NW,Yes,0.500016319,0,0,,,1,,,-7870.0614,5658987.595,-7870.561,5658987.615
52,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7869.5618,5658987.575,-7870.0614,5658987.595
53,16 AV NW,Yes,0.50002041,0,0,,,1,,,-7869.0622,5658987.554,-7869.5618,5658987.575
54,16 AV NW,Yes,0.500020409,0,0,,,1,,,-7868.5626,5658987.534,-7869.0622,5658987.554
55,16 AV NW,Yes,0.499916403,0,0,,,1,,,-7868.0631,5658987.513,-7868.5626,5658987.534
56,16 AV NW,Yes,0.500020409,0.08092496,0.2,,,1,,,-7867.5635,5658987.493,-7868.0631,5658987.513
57,16 AV NW,Yes,0.500020409,0.470559775,0.9,,,1,,,-7867.0639,5658987.472,-7867.5635,5658987.493
58,16 AV NW,Yes,0.50001632,0.8766263,1.8,,,1,,,-7866.5643,5658987.452,-7867.0639,5658987.472
59,16 AV NW,Yes,0.500020409,1.02729081,2,,,1,,,-7866.0647,5658987.431,-7866.5643,5658987.452
60,16 AV NW,Yes,0.499920494,0.974184217,1.9,,,1,,,-7865.5652,5658987.411,-7866.0647,5658987.431
61,16 AV NW,Yes,0.500020409,0.998810186,2,,,1,,,-7865.0656,5658987.39,-7865.5652,5658987.411
62,16 AV NW,Yes,0.50001632,1.028688751,2.1,,,1,,,-7864.566,5658987.37,-7865.0656,5658987.39
63,16 AV NW,Yes,0.500020409,1.05780964,2.1,,,1,,,-7864.0664,5658987.349,-7864.566,5658987.37
64,16 AV NW,Yes,0.500020409,1.028481915,2.1,,,1,,,-7863.5668,5658987.329,-7864.0664,5658987.349
65,16 AV NW,Yes,0.499920494,0.962866611,1.9,,,1,,,-7863.0673,5658987.308,-7863.5668,5658987.329
66,16 AV NW,Yes,0.50001632,0.90127563,1.8,,,1,,,-7862.5677,5658987.288,-7863.0673,5658987.308
67,16 AV NW,Yes,0.500020409,0.88866382,1.8,,,1,,,-7862.0681,5658987.267,-7862.5677,5658987.288
68,16 AV NW,Yes,0.500020409,0.89273411,1.8,,,1,,,-7861.5685,5658987.247,-7862.0681,5658987.267
69,16 AV NW,Yes,0.500016319,0.896854056,1.8,,,1,,,-7861.0689,5658987.227,-7861.5685,5658987.247
70,16 AV NW,Yes,0.50002041,0.90082494,1.8,,,1,,,-7860.5693,5658987.206,-7861.0689,5658987.227
71,16 AV NW,Yes,0.499920494,0.904714361,1.8,,,1,,,-7860.0698,5658987.186,-7860.5693,5658987.206
72,16 AV NW,Yes,0.500020409,0.908722574,1.8,,,1,,,-7859.5702,5658987.165,-7860.0698,5658987.186
73,16 AV NW,Yes,0.500016319,0.89425326,1.8,,,1,,,-7859.0706,5658987.145,-7859.5702,5658987.165
74,16 AV NW,Yes,0.500020409,0.867713285,1.7,,,1,,,-7858.571,5658987.124,-7859.0706,5658987.145
75,16 AV NW,Yes,0.50002041,0.8888371,1.8,,,1,,,-7858.0714,5658987.104,-7858.571,5658987.124
76,16 AV NW,Yes,0.499916403,0.924199675,1.9,,,1,,,-7857.5719,5658987.083,-7858.0714,5658987.104
77,16 AV NW,Yes,0.500020409,0.923725334,1.9,,,1,,,-7857.0723,5658987.063,-7857.5719,5658987.083
78,16 AV NW,Yes,0.500020409,0.92072175,1.8,,,1,,,-7856.5727,5658987.042,-7857.0723,5658987.063
79,16 AV NW,Yes,0.50002041,0.917851975,1.8,,,1,,,-7856.0731,5658987.022,-7856.5727,5658987.042
80,16 AV NW,Yes,0.50001632,0.915067229,1.8,,,1,,,-7855.5735,5658987.001,-7856.0731,5658987.022
81,16 AV NW,Yes,0.499920494,0.911911835,1.8,,,1,,,-7855.074,5658986.981,-7855.5735,5658987.001
82,16 AV NW,Yes,0.500020409,0.909281204,1.8,,,1,,Yes,-7854.5744,5658986.96,-7855.074,5658986.981
83,16 AV NW,Yes,0.50002041,0.906286625,1.8,,,1,,Yes,-7854.0748,5658986.94,-7854.5744,5658986.96
84,16 AV NW,Yes,0.50001632,0.901972074,1.8,,,1,,Yes,-7853.5752,5658986.919,-7854.0748,5658986.94
85,16 AV NW,Yes,0.500020409,0.884180144,1.8,,,1,,Yes,-7853.0756,5658986.899,-7853.5752,5658986.919
86,16 AV NW,Yes,0.499920494,0.86323067,1.7,,,1,,Yes,-7852.5761,5658986.878,-7853.0756,5658986.899
87,16 AV NW,Yes,0.50001632,0.842846001,1.7,,,1,,Yes,-7852.0765,5658986.858,-7852.5761,5658986.878
88,16 AV NW,Yes,0.50002041,0.821975629,1.6,,,1,,Yes,-7851.5769,5658986.838,-7852.0765,5658986.858
89,16 AV NW,Yes,0.500020409,0.801257351,1.6,,,1,,Yes,-7851.0773,5658986.817,-7851.5769,5658986.838
90,16 AV NW,Yes,0.500020409,0.780517435,1.6,,,1,,Yes,-7850.5777,5658986.797,-7851.0773,5658986.817
91,16 AV NW,Yes,0.499916403,0.768046005,1.5,,,1,,Yes,-7850.0782,5658986.776,-7850.5777,5658986.797
92,16 AV NW,Yes,0.50002041,0.77937325,1.6,,,1,,Yes,-7849.5786,5658986.756,-7850.0782,5658986.776
93,16 AV NW,Yes,0.500020409,0.791807475,1.6,,,1,,Yes,-7849.079,5658986.735,-7849.5786,5658986.756
94,16 AV NW,Yes,0.500020409,0.80428852,1.6,,,1,,Yes,-7848.5794,5658986.715,-7849.079,5658986.735
95,16 AV NW,Yes,0.50001632,0.81680967,1.6,,,1,,Yes,-7848.0798,5658986.694,-7848.5794,5658986.715
96,16 AV NW,Yes,0.50002041,0.8293224,1.7,,,1,,Yes,-7847.5802,5658986.674,-7848.0798,5658986.694
97,16 AV NW,Yes,0.499920494,0.833361121,1.7,,,1,,Yes,-7847.0807,5658986.653,-7847.5802,5658986.674
