OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_WIDTH,BLOCK_ID,Start_X,Start_Y,End_X,End_Y
1,16 AV NW,Yes,427.9931786,2.8,1,-7467.1207,5658984.156,-7895.0336,5658988.618
2,16 AV NW,Yes,771.0549962,0,2,-8238.2612,5658970.526,-7467.5665,5658968.492
4,16 AV NW,Yes,248.2181696,2.1,4,-7421.2396,5658965.73,-7173.0297,5658965.509
6,16 AV NW,Yes,253.0600855,0,6,-7139.303,5658965.749,-6886.2531,5658964.06
8,16 AV NW,Yes,133.6026559,0,8,-6859.1009,5658963.218,-6725.5123,5658961.348
10,16 AV NW,Yes,270.4496786,3.4,10,-6577.2593,5658958.137,-6306.9406,5658957.46
12,16 AV NW,Yes,145.205418,3.9,12,-6272.746,5658956.243,-6127.5487,5658955.848
14,16 AV NW,Yes,130.6166433,4.6,14,-6106.121,5658957.388,-5975.585,5658958.215
16,16 AV NW,Yes,886.0420901,4.1,16,-5915.4553,5658957.681,-5029.5599,5658957.97
18,16 AV NW,Yes,89.47935224,4.2,18,-4999.5376,5658957.815,-4910.0601,5658957.308
20,16 AV NW,Yes,66.77564195,4.2,20,-4890.0674,5658957.459,-4823.293,5658957.518
22,16 AV NW,Yes,62.82426198,4.1,22,-4802.7106,5658957.622,-4739.8884,5658957.113
24,16 AV NW,Yes,150.5491685,3.9,24,-4715.3048,5658957.578,-4564.7566,5658957.798
26,16 AV NW,Yes,124.7471946,4.4,26,-4545.0852,5658957.839,-4420.3866,5658960.267
28,16 AV NW,Yes,148.4140581,1.8,28,-4395.7932,5658975.334,-4544.2071,5658975.381
30,16 AV NW,Yes,148.6023276,4.2,30,-4567.1523,5658975.408,-4715.7533,5658975.855
32,16 AV NW,Yes,259.1083353,1.8,32,-4739.8509,5658975.714,-4998.955,5658974.444
34,16 AV NW,Yes,148.9694593,1.4,34,-5027.758,5658975.308,-5176.7245,5658975.262
36,16 AV NW,Yes,157.0562666,1.4,36,-5193.0205,5658975.316,-5350.0766,5658975.29
38,16 AV NW,Yes,152.3285946,1.8,38,-5369.5179,5658975.54,-5521.8452,5658975.259
40,16 AV NW,Yes,271.3578802,1.4,40,-5541.0191,5658975.293,-5812.3734,5658974.412
42,16 AV NW,Yes,88.28918959,1.8,42,-5834.0871,5658973.817,-5922.3741,5658973.568
44,16 AV NW,Yes,127.470923,7.4,44,-5979.8877,5658975.269,-6107.3585,5658975.245
46,16 AV NW,Yes,143.8125888,6.8,46,-6133.9618,5658975.303,-6277.7426,5658973.554
48,16 AV NW,Yes,263.8586674,7,48,-6307.4025,5658975.203,-6571.2534,5658975.627
50,16 AV NW,Yes,78.65676973,4.1,50,-6728.2012,5658979.748,-6806.8573,5658979.882
52,16 AV NW,Yes,155.2821097,1.7,52,-6818.1828,5658979.895,-6973.4641,5658979.848
54,16 AV NW,Yes,146.3381827,1.8,54,-6994.0124,5658979.866,-7140.3501,5658979.759
56,16 AV NW,Yes,256.803276,3,56,-7173.1629,5658979.867,-7429.9436,5658982.945
58,16 AV NW,Yes,145.2156947,3,58,-8093.2513,5658990.432,-8238.3152,5658985.02
60,16 AV NW,Yes,155.5558588,3,60,-7926.854,5658989.732,-8082.4033,5658990.47
