OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
1,17 AV SE,Yes,0.500004,1.997771105,4,Yes,,1,,,918.6942,5655739.105,918.1942,5655739.103
2,17 AV SE,Yes,0.307264593,1.024861945,3.3,Yes,,1,Yes,,502.732,5655738.19,502.4248,5655738.196
3,17 AV SE,Yes,0.50000817,1.678606419,3.4,Yes,,1,Yes,,503.2319,5655738.18,502.732,5655738.19
4,17 AV SE,Yes,0.5000061,1.727254079,3.5,Yes,,1,Yes,,503.7318,5655738.169,503.2319,5655738.18
5,17 AV SE,Yes,0.5000061,1.779637985,3.6,Yes,,1,Yes,,504.2317,5655738.159,503.7318,5655738.169
6,17 AV SE,Yes,0.500006099,1.851199524,3.7,Yes,,1,Yes,,504.7316,5655738.149,504.2317,5655738.159
7,17 AV SE,Yes,0.50000817,1.923790558,3.8,Yes,,1,Yes,,505.2315,5655738.138,504.7316,5655738.149
8,17 AV SE,Yes,0.5000061,1.945810076,3.9,Yes,,1,Yes,,505.7314,5655738.128,505.2315,5655738.138
9,17 AV SE,Yes,0.5000061,1.94543901,3.9,Yes,,1,Yes,,506.2313,5655738.118,505.7314,5655738.128
10,17 AV SE,Yes,0.5000061,1.945067946,3.9,Yes,,1,Yes,,506.7312,5655738.107,506.2313,5655738.118
11,17 AV SE,Yes,0.5000061,1.944904289,3.9,Yes,,1,Yes,,507.2311,5655738.097,506.7312,5655738.107
12,17 AV SE,Yes,0.499908191,1.94395,3.9,Yes,,1,Yes,,507.7309,5655738.087,507.2311,5655738.097
13,17 AV SE,Yes,0.5000061,1.943959709,3.9,Yes,,1,Yes,,508.2308,5655738.076,507.7309,5655738.087
14,17 AV SE,Yes,0.5000061,1.943588641,3.9,Yes,,1,Yes,,508.7307,5655738.066,508.2308,5655738.076
15,17 AV SE,Yes,0.5000061,1.943209561,3.9,Yes,,1,Yes,,509.2306,5655738.056,508.7307,5655738.066
16,17 AV SE,Yes,0.500006099,1.943061744,3.9,Yes,,1,Yes,,509.7305,5655738.045,509.2306,5655738.056
17,17 AV SE,Yes,0.50000817,1.942488419,3.9,Yes,,1,Yes,,510.2304,5655738.035,509.7305,5655738.045
18,17 AV SE,Yes,0.5000061,1.942109345,3.9,Yes,,1,Yes,,510.7303,5655738.025,510.2304,5655738.035
19,17 AV SE,Yes,0.5000061,1.941738271,3.9,Yes,,1,Yes,,511.2302,5655738.014,510.7303,5655738.025
20,17 AV SE,Yes,0.5000061,1.941359196,3.9,Yes,,1,Yes,,511.7301,5655738.004,511.2302,5655738.014
21,17 AV SE,Yes,0.50000817,1.940988121,3.9,Yes,,1,Yes,,512.23,5655737.994,511.7301,5655738.004
22,17 AV SE,Yes,0.500006099,1.940609049,3.9,Yes,,1,Yes,,512.7299,5655737.983,512.23,5655737.994
23,17 AV SE,Yes,0.5000061,1.940266969,3.9,Yes,,1,Yes,,513.2298,5655737.973,512.7299,5655737.983
24,17 AV SE,Yes,0.5000061,1.939887901,3.9,Yes,,1,Yes,,513.7297,5655737.963,513.2298,5655737.973
25,17 AV SE,Yes,0.5000061,1.939508831,3.9,Yes,,1,Yes,,514.2296,5655737.953,513.7297,5655737.963
26,17 AV SE,Yes,0.50000817,1.939137751,3.9,Yes,,1,Yes,,514.7295,5655737.942,514.2296,5655737.953
27,17 AV SE,Yes,0.500006099,1.938758679,3.9,Yes,,1,Yes,,515.2294,5655737.932,514.7295,5655737.942
28,17 AV SE,Yes,0.499906122,1.938,3.9,Yes,,1,Yes,,515.7292,5655737.922,515.2294,5655737.932
