OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_WIDTH,BLOCK_ID,Start_X,Start_Y,End_X,End_Y
1,17 AV SE,Yes,416.30728,3.4,1,918.6942,5655739.105,502.4248,5655738.196
5,17 AV SE,Yes,221.743759,3.7,5,503.0155,5655719.083,724.7366,5655720.467
7,17 AV SE,Yes,159.7646028,2.3,7,754.2312,5655719.991,913.9869,5655718.305
9,17 AV SE,Yes,86.16525406,3.3,9,989.8104,5655717.825,1075.9751,5655717.516
11,17 AV SE,Yes,80.83434136,3.5,11,1098.9729,5655717.603,1179.7965,5655718.619
13,17 AV SE,Yes,62.57026336,6.8,13,1203.4198,5655720.173,1265.9885,5655720.328
15,17 AV SE,Yes,71.7150184,5.6,15,1309.3913,5655719.289,1381.1012,5655718.432
17,17 AV SE,Yes,69.81539983,4,17,1404.6805,5655720.058,1474.43,5655722.699
19,17 AV SE,Yes,75.36791742,3.9,19,1510.3885,5655721.946,1585.7546,5655721.422
21,17 AV SE,Yes,75.53001526,3.8,21,1609.4319,5655721.623,1684.9584,5655722.352
23,17 AV SE,Yes,169.5777013,3.9,23,1717.4691,5655722.166,1887.027,5655722.453
25,17 AV SE,Yes,165.7758379,3.9,25,1917.6718,5655721.824,2083.3069,5655721.191
27,17 AV SE,Yes,61.37229873,4.2,27,2126.0282,5655718.737,2187.3934,5655719.259
29,17 AV SE,Yes,167.2691944,4,29,2218.7339,5655719.105,2386.0017,5655718.574
31,17 AV SE,Yes,75.65696461,3.7,31,2413.7771,5655719.143,2489.4332,5655718.781
33,17 AV SE,Yes,177.8559329,3.7,33,2514.6233,5655719.525,2692.4522,5655720.856
35,17 AV SE,Yes,161.2160173,3.8,35,2728.2627,5655720.751,2889.4639,5655721.089
37,17 AV SE,Yes,152.5831424,3.1,37,2945.6959,5655720.35,3098.2762,5655721.226
39,17 AV SE,Yes,249.0073847,3,39,3135.3609,5655722.01,3384.3419,5655725.292
41,17 AV SE,Yes,273.1659431,3.7,41,3434.6838,5655725.314,3707.8456,5655725.584
42,17 AV SE,Yes,436.5177243,3.4,42,3382.4594,5655738.336,2945.9836,5655740.274
44,17 AV SE,Yes,61.65170953,3.4,44,2889.0422,5655741.719,2827.3938,5655741.08
46,17 AV SE,Yes,72.68273265,3.3,46,2800.6842,5655740.813,2728.0024,5655740.451
48,17 AV SE,Yes,75.26314895,3.4,48,2696.1408,5655740.45,2620.9085,5655739.19
50,17 AV SE,Yes,80.06814732,3.5,50,2592.7862,5655738.395,2512.7225,5655737.802
52,17 AV SE,Yes,74.33399491,3.3,52,2487.6764,5655737.761,2413.3462,5655738.484
54,17 AV SE,Yes,167.8637229,3.4,54,2386.1067,5655738.393,2218.3009,5655740.234
56,17 AV SE,Yes,63.49373605,3.7,56,2186.7808,5655738.571,2123.29,5655738.561
58,17 AV SE,Yes,64.46677042,6,58,2083.8638,5655740.405,2019.3981,5655740.034
60,17 AV SE,Yes,77.97168415,5.2,60,1995.6519,5655739.955,1917.6809,5655740.024
62,17 AV SE,Yes,73.09896204,5.6,62,1887.5627,5655740.339,1814.4978,5655741.814
64,17 AV SE,Yes,73.99533423,6.1,64,1792.8665,5655741.959,1718.9152,5655740.389
66,17 AV SE,Yes,74.31805992,6.2,66,1686.1445,5655742.001,1611.8269,5655742.118
68,17 AV SE,Yes,74.38181438,3.7,68,1584.7092,5655741.874,1510.3367,5655740.702
70,17 AV SE,Yes,169.6345013,6.1,70,1475.6017,5655741.804,1306.041,5655738.71
72,17 AV SE,Yes,180.9654136,3.2,72,1272.9801,5655739.72,1092.0199,5655739.458
74,17 AV SE,Yes,110.906521,3.9,74,1064.9575,5655739.178,954.0894,5655737.707
76,17 AV SE,Yes,103.9544714,1.6,76,3486.4039,5655737.345,3382.4594,5655738.336
