OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_WIDTH,BLOCK_ID,Start_X,Start_Y,End_X,End_Y
2,CENTRE ST N,Yes,222.6304331,2.9,2,-4369.0215,5662029.584,-4370.5063,5661806.962
3,CENTRE ST N,Yes,130.0412397,3,3,-4369.6808,5662187.537,-4369.6193,5662057.503
5,CENTRE ST N,Yes,117.5280972,2.4,5,-4375.7456,5662070.01,-4375.6803,5662187.532
7,CENTRE ST N,Yes,233.8066556,2.5,7,-4376.6367,5661804.782,-4375.1767,5662038.581
9,CENTRE ST N,Yes,75.96953034,2.4,9,-4376.7844,5661703.234,-4376.8605,5661779.203
11,CENTRE ST N,Yes,79.72942186,2.5,11,-4376.3498,5661602.825,-4377.0418,5661682.55
13,CENTRE ST N,Yes,84.10609911,1.8,13,-4376.7242,5661500.098,-4376.4231,5661584.204
15,CENTRE ST N,Yes,81.52287258,1.7,15,-4376.9088,5661403.643,-4376.6729,5661485.161
17,CENTRE ST N,Yes,159.4841436,1.8,17,-4377.7327,5661221.547,-4377.04,5661381.028
19,CENTRE ST N,Yes,221.5823581,1.9,19,-4378.1182,5660983.737,-4377.6985,5661205.319
21,CENTRE ST N,Yes,176.3907965,1.9,21,-4378.5415,5660790.521,-4378.1247,5660966.912
23,CENTRE ST N,Yes,174.3031466,1.9,23,-4381.8696,5660598.565,-4378.6255,5660772.789
25,CENTRE ST N,Yes,89.93507899,1.7,25,-4385.0489,5660489.872,-4383.0844,5660579.753
27,CENTRE ST N,Yes,81.84485773,1.8,27,-4384.78,5660388.428,-4384.9281,5660470.271
29,CENTRE ST N,Yes,82.26202146,1.7,29,-4384.3807,5660288.785,-4384.7219,5660371.042
31,CENTRE ST N,Yes,80.59421202,1.9,31,-4384.1731,5660190.771,-4384.4213,5660271.365
33,CENTRE ST N,Yes,81.66716022,1.8,33,-4384.4918,5660092.507,-4384.4111,5660174.173
35,CENTRE ST N,Yes,78.86610197,1.8,35,-4384.3136,5659994.138,-4384.3242,5660073.004
37,CENTRE ST N,Yes,79.23917462,1.7,37,-4384.5194,5659893.595,-4384.478,5659972.832
39,CENTRE ST N,Yes,81.77340551,1.8,39,-4384.1646,5659791.53,-4384.3318,5659873.303
41,CENTRE ST N,Yes,80.0888567,1.9,41,-4384.4991,5659687.126,-4384.2696,5659767.213
43,CENTRE ST N,Yes,77.0317665,1.8,43,-4384.2408,5659591.167,-4384.2915,5659668.199
45,CENTRE ST N,Yes,80.25717105,1.8,45,-4384.4018,5659489.725,-4384.1992,5659569.981
47,CENTRE ST N,Yes,79.10711952,1.7,47,-4384.3964,5659391.021,-4384.5265,5659470.126
49,CENTRE ST N,Yes,79.41121278,1.8,49,-4384.2083,5659286.854,-4384.2701,5659366.265
51,CENTRE ST N,Yes,80.84361041,1.7,51,-4384.379,5659185.52,-4384.26,5659266.363
53,CENTRE ST N,Yes,81.43039391,1.7,53,-4384.2847,5659084.535,-4384.2894,5659165.962
55,CENTRE ST N,Yes,78.51436536,2.9,55,-4384.3157,5658987.84,-4384.5452,5659066.348
57,CENTRE ST N,Yes,60.85766562,3.5,57,-4384.5762,5658870.201,-4384.2123,5658931.056
58,CENTRE ST N,Yes,67.57531649,3,58,-4384.6928,5658802.626,-4384.5762,5658870.201
60,CENTRE ST N,Yes,91.18986357,2.9,60,-4385.2014,5658696.914,-4385.0136,5658788.103
62,CENTRE ST N,Yes,96.9832015,7,62,-4385.3953,5658579.865,-4385.1592,5658676.848
64,CENTRE ST N,Yes,81.47381211,3,64,-4385.8331,5658476.71,-4385.5742,5658558.183
66,CENTRE ST N,Yes,81.90245659,3.2,66,-4386.1334,5658379.498,-4385.8611,5658461.4
68,CENTRE ST N,Yes,82.41039125,3,68,-4386.3522,5658277.529,-4385.9639,5658359.937
70,CENTRE ST N,Yes,81.19145949,3,70,-4386.6542,5658180.62,-4386.5572,5658261.811
72,CENTRE ST N,Yes,81.10718849,3.3,72,-4386.6302,5658080.764,-4386.8789,5658161.87
74,CENTRE ST N,Yes,387.8698656,0,74,-4380.0512,5657672.316,-4384.4202,5658060.077
78,CENTRE ST N,Yes,389.9794711,2.6,78,-4378.513,5658061.136,-4374.4176,5657671.276
80,CENTRE ST N,Yes,80.88277354,2.7,80,-4380.6305,5658161.35,-4380.7968,5658080.468
82,CENTRE ST N,Yes,81.47787835,1.5,82,-4380.3867,5658262.332,-4380.4477,5658180.857
84,CENTRE ST N,Yes,82.42349475,3.1,84,-4380.1256,5658359.612,-4380.3588,5658277.189
86,CENTRE ST N,Yes,81.72486186,5.4,86,-4379.9021,5658461.334,-4380.0943,5658379.61
88,CENTRE ST N,Yes,80.98822556,3.1,88,-4378.9386,5658557.541,-4379.7942,5658476.57
90,CENTRE ST N,Yes,96.99227573,1.4,90,-4378.7846,5658676.836,-4379.4843,5658579.851
92,CENTRE ST N,Yes,229.1921851,3.2,92,-4378.0187,5658925.856,-4378.9536,5658696.67
94,CENTRE ST N,Yes,78.12243509,3.2,94,-4378.3332,5659065.995,-4378.3164,5658987.879
96,CENTRE ST N,Yes,83.42472856,2.9,96,-4378.2474,5659167.575,-4378.0774,5659084.153
99,CENTRE ST N,Yes,80.27882298,1.7,99,-4378.2606,5659266.141,-4378.3796,5659185.863
101,CENTRE ST N,Yes,79.75404895,2.7,101,-4378.2294,5659366.49,-4378.2627,5659286.736
103,CENTRE ST N,Yes,78.23211001,3.1,103,-4377.9459,5659469.408,-4378.48,5659391.181
105,CENTRE ST N,Yes,80.63697201,1.7,105,-4378.1168,5659570.062,-4378.0702,5659489.428
107,CENTRE ST N,Yes,76.13713718,1.8,107,-4377.96,5659666.83,-4378.0753,5659590.698
109,CENTRE ST N,Yes,80.61379532,1.7,109,-4378.1637,5659767.374,-4378.2506,5659686.761
111,CENTRE ST N,Yes,81.63570673,1.5,111,-4378.3058,5659873.178,-4378.4311,5659791.542
113,CENTRE ST N,Yes,79.29646193,1.7,113,-4378.1465,5659972.62,-4378.0147,5659893.328
115,CENTRE ST N,Yes,78.98284171,1.8,115,-4378.2837,5660073.011,-4378.3143,5659994.029
117,CENTRE ST N,Yes,80.74323288,1.9,117,-4378.2788,5660173.483,-4378.0357,5660092.743
119,CENTRE ST N,Yes,80.91660901,1.7,119,-4378.3391,5660271.632,-4378.3066,5660190.715
