OBJECTID,TREE_ASSET_CD,ASSET_TYPE,ASSET_SUBTYPE,COMMON_NAME,HORT_CODE,GENUS,SPECIES,CULTIVAR,DBH_CM,MATURE_SIZE,RATING,APPRAISED_VALUE,TREE_CONDITION_RATING_PERC,HERITAGE_TREES,TREE_MAINTENANCE,MAINTAINED_BY,WAM_ID,COMM_CODE,LOCATION_DETAIL,SITE_ELEMENT_TYPE_DESCRIPTION,SITE_ELEMENT_MINORTYPE,HARDWARE,ACTIVE_DT,MODIFIED_DT,X_Point,Y_Point
2,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,17,LARGE,100,1839.55,69,N,MAINTAIN TREE,CALGARY PARKS,T-32494521,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2022-11-17,2025-08-29,-5773.2843,5658950.517
3,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,28,LARGE,100,4267.21,59,N,MAINTAIN TREE,CALGARY PARKS,T-32454585,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-26,2025-08-29,-5144.1009,5658950.641
4,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,22,LARGE,100,2768.27,62,N,MAINTAIN TREE,CALGARY PARKS,T-32204660,HIL,1301 16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,2025-08-29,-6533.2399,5658946.239
5,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,22,LARGE,100,2768.27,62,N,MAINTAIN TREE,CALGARY PARKS,T-32204673,HIL,1301 16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,2025-08-29,-6503.6269,5658946.213
6,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,10,LARGE,100,565,56,N,ESTABLISH TREE,CALGARY PARKS,T-51071844,HIL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2013-07-09,2025-09-15,-6040.8737,5658950.445
12,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,27,LARGE,100,4438.6,66,N,MAINTAIN TREE,CALGARY PARKS,T-32480204,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-24,2025-08-29,-5389.0232,5658950.602
13,CRE666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,32,LARGE,100,5155.5,59,N,MAINTAIN TREE,CALGARY PARKS,T-32496457,CRE,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,2025-08-29,-4531.6765,5658950.523
14,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,24,LARGE,100,3135.07,59,N,MAINTAIN TREE,CALGARY PARKS,T-32488466,HIL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-24,2025-08-29,-6012.5942,5658948.921
15,CRE666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,14,LARGE,100,936.58,56,N,MAINTAIN TREE,CALGARY PARKS,T-51071721,CRE,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2013-07-12,2025-08-29,-4510.7754,5658950.872
17,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,29,LARGE,100,4577.45,59,N,MAINTAIN TREE,CALGARY PARKS,T-32480196,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-25,2025-08-29,-5614.4604,5658950.598
20,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,15,LARGE,100,1286.87,62,N,MAINTAIN TREE,CALGARY PARKS,T-32204658,HIL,1301 16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,2025-08-29,-6518.6261,5658946.276
21,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,23,LARGE,100,3220.86,66,N,MAINTAIN TREE,CALGARY PARKS,T-32204672,HIL,1301 16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,2025-08-29,-6496.7158,5658946.404
22,CRE666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,25,LARGE,100,3146.64,59,N,MAINTAIN TREE,CALGARY PARKS,T-32496446,CRE,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2007-07-26,2025-08-29,-4926.4786,5658950.83
27,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,31,LARGE,100,5585.22,63,N,MAINTAIN TREE,CALGARY PARKS,T-32508708,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-25,2025-08-29,-5585.1627,5658950.666
28,CRE666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,10,LARGE,100,565,59,N,ESTABLISH TREE,CALGARY PARKS,T-51071750,CRE,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2013-07-11,2025-08-29,-4704.4269,5658950.689
30,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,22,LARGE,100,2634.32,59,N,MAINTAIN TREE,CALGARY PARKS,T-32461359,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-26,2025-08-29,-5151.3342,5658950.604
31,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,25,LARGE,100,3401.78,59,N,MAINTAIN TREE,CALGARY PARKS,T-32461341,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,2025-08-29,-5081.1952,5658950.635
32,CRE666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,33,LARGE,100,5854.47,63,N,MAINTAIN TREE,CALGARY PARKS,T-32488118,CRE,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2007-07-26,2025-08-29,-4757.0856,5658950.593
35,CRE666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,14,LARGE,100,1103.82,66,N,MAINTAIN TREE,CALGARY PARKS,T-51094052,CRE,16 AV NE,NON TITLED,BVM - BOULEVARD MAJOR,N,2014-07-02,2025-08-29,-4655.5324,5658950.534
37,RDL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,21,LARGE,100,2400.28,59,N,MAINTAIN TREE,CALGARY PARKS,T-32492625,RDL,16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-24,2025-08-29,-5745.4796,5658950.497
38,HIL666,TREE,Deciduous,"ELM, BRANDON",ULAMBR,ULMUS,AMERICANA,BRANDON,22,LARGE,100,,63,N,MAINTAIN TREE,CALGARY PARKS,T-32204674,HIL,1301 16 AV NW,NON TITLED,BVM - BOULEVARD MAJOR,N,2011-07-27,,-6441.1416,5658946.313
